Group,CAs,Outcome progress (m),Outcome distance to goal (m),Outcome time (s),Outcome progression from start (m)
Shot CAs,64,88.87,19.35,10.55,32.76
Non-shot CAs,252,80.09,30.49,13.58,37.25
Late shots after 20s,12,89.51,18.43,25.43,62.54
Denmark all,12,77.79,31.92,19.59,31.5
Denmark shot CAs,2,91.35,15.95,8.64,36.36
Denmark non-shot CAs,9,74.55,36.09,18.23,33.03
