match_id,team_id,teamName,team_norm,start_event_id,start_ts,stop_reason_candidate_window,shot_20s,outcome_type,outcome_is_censored,outcome_event_id,outcome_time_s,outcome_progress_m,outcome_goal_distance_m,outcome_progression_from_start_m,position_source
5544232,2413,England,england,2228690842,4697.961,opponent_on_ball,0,opponent_on_ball,0,2228690989,15.505999999999403,101.85,3.1500000000000057,48.59910621903968,event_xy
5544232,14496,Slovakia,slovakia,2228691167,5122.08,opponent_on_ball,0,opponent_on_ball,0,2228690960,8.193000000000211,70.35,41.65521455952424,22.982872946698947,event_xy
5544232,2413,England,england,2228691308,6199.323,opponent_on_ball,0,opponent_on_ball,0,2228691643,14.635999999999513,94.5,11.5285558505825,57.82502384229848,event_xy
5544233,15874,Georgia,georgia,2228696501,1984.323,game_interruption,0,game_interruption,0,2228696512,10.458999999999833,105.0,17.0,32.27977117445154,event_xy
5544233,1598,Spain,spain,2228697071,4471.89,window_end,1,shot,0,2228697080,12.791999999999462,94.5,14.638647478507023,49.38302229489268,event_xy
5544234,5629,Belgium,belgium,2229413409,156.41899999999998,opponent_on_ball,0,opponent_on_ball,0,2229413233,14.205000000000013,94.5,31.068112269656808,69.50440331948238,event_xy
5544234,5629,Belgium,belgium,2229413431,220.295,game_interruption,0,game_interruption,0,2229413437,15.694000000000017,82.95,40.52409776910524,40.07080793931803,event_xy
5544234,5629,Belgium,belgium,2229414381,3133.958,opponent_on_ball,0,opponent_on_ball,0,2229414346,14.922000000000025,73.5,33.554189008229656,50.93997934129594,event_xy
5544234,5629,Belgium,belgium,2229415267,3618.178,opponent_on_ball,1,shot,0,2229414571,7.68100000000004,93.45,14.14171488893762,41.13225012476435,event_xy
5544234,4418,France,france,2229414578,3732.264,opponent_on_ball,0,opponent_on_ball,0,2229414617,11.673999999999978,93.45,18.366297939432428,38.403794839361716,event_xy
5544234,4418,France,france,2229414940,4846.259,window_end,0,no_outcome_within_60s,1,,,,,,none
5544234,4418,France,france,2229415024,5193.919,opponent_on_ball,0,opponent_on_ball,0,2229415131,10.875,64.05,42.04203729602076,34.37523957555909,event_xy
5544235,12046,Slovenia,slovenia,2229694142,505.301,opponent_on_ball,0,opponent_on_ball,0,2229694123,6.991000000000042,64.05,46.05723504510448,21.811410426659293,event_xy
5544235,12046,Slovenia,slovenia,2229694409,1296.887,opponent_on_ball,0,opponent_on_ball,0,2229694455,6.294000000000096,82.95,23.2841770307649,17.576722979721183,event_xy
5544235,12046,Slovenia,slovenia,2229694434,1318.173,opponent_on_ball,0,no_outcome_within_60s,1,,,,,,none
5544235,9905,Portugal,portugal,2229694682,1894.271,window_end,0,no_outcome_within_60s,1,,,,,,none
5544235,9905,Portugal,portugal,2229694723,2062.929,opponent_on_ball,0,opponent_on_ball,0,2229694668,9.838999999999942,98.7,15.607959507892119,31.343639131659756,event_xy
5544235,9905,Portugal,portugal,2229694762,2181.447,opponent_on_ball,0,opponent_on_ball,0,2229694696,17.561999999999898,80.85,32.50723150315942,76.66015894557356,event_xy
5544235,9905,Portugal,portugal,2229694867,2543.066,opponent_on_ball,0,opponent_on_ball,0,2229694773,9.274000000000342,98.7,25.27766603149903,31.335701296452825,event_xy
5544235,12046,Slovenia,slovenia,2229694770,2548.315,opponent_on_ball,0,opponent_on_ball,0,2229694873,8.237999999999829,47.25,61.02410097658138,33.931382359203006,event_xy
5544235,9905,Portugal,portugal,2229694883,2575.385,opponent_on_ball,0,opponent_on_ball,0,2229694803,22.381999999999607,63.0,44.14702707997448,42.53431950953507,event_xy
5544235,12046,Slovenia,slovenia,2229695016,3157.68,opponent_on_ball,0,opponent_on_ball,0,2229695186,9.706000000000131,94.5,11.264830225085507,58.158424142560776,event_xy
5544235,12046,Slovenia,slovenia,2229695171,3650.556,game_interruption,1,shot,0,2229695188,10.962999999999738,92.4,15.391738043508921,59.75449557250886,event_xy
5544235,9905,Portugal,portugal,2229695531,3903.496,opponent_on_ball,0,opponent_on_ball,0,2229695236,22.15000000000009,92.4,15.792099290467998,63.96424493455979,event_xy
5544235,9905,Portugal,portugal,2229695554,3941.182,opponent_on_ball,0,opponent_on_ball,0,2229695254,11.763000000000375,93.45,18.8998439146994,40.80840654266035,event_xy
5544235,12046,Slovenia,slovenia,2229695299,4133.544,opponent_on_ball,0,opponent_on_ball,0,2229695655,11.943000000000211,84.0,21.1754197124874,49.14470756790246,event_xy
5544235,12046,Slovenia,slovenia,2229695526,4976.927,opponent_on_ball,0,opponent_on_ball,0,2229695939,12.470000000000255,67.2,47.376297871404006,40.20648807740537,event_xy
5544235,9905,Portugal,portugal,2229696039,5328.549,window_end,1,shot,0,2229696051,7.242000000000189,95.55,11.642272115012604,39.760049954282124,event_xy
