Group,CAs,Outcome progress (m),Outcome distance to goal (m),Outcome time (s),Outcome progression from start (m)
Shot CAs,27,89.13,18.11,9.47,35.0
Non-shot CAs,103,75.42,35.81,13.72,31.75
Late shots after 20s,2,88.2,17.15,54.18,10.24
Denmark all,14,84.3,26.72,12.43,34.6
Denmark shot CAs,4,89.25,17.9,10.11,28.5
Denmark non-shot CAs,10,82.32,30.25,13.35,37.03
