comparison,metric,mean,std,p05,p25,median,p75,p95,min,max,positive_share,p_value_one_sided_hybrid_better,p_value_two_sided
hybrid_minus_baseline,precision,0.05155795711862522,0.08288546948294338,-0.08323049499520088,-0.003519736842105242,0.04848057644110276,0.10534488394900293,0.19999999999999996,-0.15000000000000002,0.2514619883040936,0.72,9.99990000099999e-06,9.99990000099999e-06
hybrid_minus_rule_definition,precision,0.018322060420711436,0.09777308610357252,-0.14645687645687638,-0.04099923722349355,0.014054157131960288,0.08356117566643886,0.1673793859649123,-0.20588235294117652,0.2857142857142857,0.52,0.031869681303186966,0.06430935690643094
hybrid_minus_baseline,recall,0.0941176470588235,0.08567283308875519,0.0,0.05882352941176461,0.08823529411764702,0.11764705882352944,0.23529411764705888,-0.11764705882352944,0.3529411764705882,0.76,9.99990000099999e-06,9.99990000099999e-06
hybrid_minus_rule_definition,recall,0.09588235294117645,0.09259576148271192,-0.05882352941176472,0.05882352941176461,0.11764705882352933,0.11764705882352944,0.2941176470588235,-0.11764705882352944,0.2941176470588235,0.76,9.99990000099999e-06,9.99990000099999e-06
hybrid_minus_baseline,f1,0.06957365366782135,0.06008456096118523,-0.03160183066361555,0.022147147147147134,0.06923324423324423,0.10931087882307397,0.16461206896551725,-0.04729729729729726,0.24444444444444446,0.85,9.99990000099999e-06,9.99990000099999e-06
hybrid_minus_rule_definition,f1,0.05105045390797443,0.0727316174061858,-0.0750807198175619,0.0,0.06565104212163037,0.0970305832147938,0.15000000000000002,-0.15311004784688997,0.25806451612903225,0.71,9.99990000099999e-06,9.99990000099999e-06
hybrid_minus_baseline,accuracy,0.04729166666666667,0.053123452641359085,-0.0427083333333334,0.02083333333333326,0.05208333333333337,0.08333333333333337,0.125,-0.08333333333333337,0.1875,0.76,9.99990000099999e-06,9.99990000099999e-06
hybrid_minus_rule_definition,accuracy,0.026041666666666678,0.06346581206718152,-0.08437500000000003,-0.02083333333333326,0.04166666666666674,0.0625,0.10416666666666674,-0.16666666666666674,0.16666666666666674,0.62,6.999930000699993e-05,0.00011999880001199988
