iteration,model,human_train_n,human_test_n,human_test_positive,human_test_negative,human_train_positive,human_train_negative,tp,fp,fn,tn,precision,recall,f1,accuracy,roc_auc,threshold,validation_f1,validation_precision,validation_recall,train_positive_rate,val_positive_rate
17,hybrid_xgboost,167,48,17,31,61,106,14,8,3,23,0.6363636363636364,0.8235294117647058,0.717948717948718,0.7708333333333334,0.8557874762808348,0.7,0.9010238907849829,0.8979591836734694,0.9041095890410958,0.06791651927838699,0.06886792452830189
18,rule_definition,167,48,17,31,61,106,14,5,3,26,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8333333333333334,0.8311195445920304,,,,,,
18,xgboost_baseline,167,48,17,31,61,106,14,4,3,27,0.7777777777777778,0.8235294117647058,0.8,0.8541666666666666,0.9487666034155597,0.72,0.924924924924925,0.9221556886227545,0.927710843373494,0.06796941376380629,0.07027942421676546
18,hybrid_xgboost,167,48,17,31,61,106,16,7,1,24,0.6956521739130435,0.9411764705882353,0.8,0.8333333333333334,0.9696394686907022,0.66,0.9,0.864406779661017,0.9386503067484663,0.06784803981065664,0.06900931414055884
19,rule_definition,167,48,17,31,61,106,11,6,6,25,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.75,0.7267552182163187,,,,,,
19,xgboost_baseline,167,48,17,31,61,106,13,9,4,22,0.5909090909090909,0.7647058823529411,0.6666666666666666,0.7291666666666666,0.8614800759013282,0.64,0.9329268292682927,0.9161676646706587,0.9503105590062112,0.06718009478672986,0.07450254511800093
19,hybrid_xgboost,167,48,17,31,61,106,13,3,4,28,0.8125,0.7647058823529411,0.7878787878787878,0.8541666666666666,0.8918406072106261,0.76,0.9221183800623053,0.9079754601226994,0.9367088607594937,0.06682464454976303,0.07311429893567793
20,rule_definition,167,48,17,31,61,106,13,6,4,25,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.7916666666666666,0.7855787476280834,,,,,,
20,xgboost_baseline,167,48,17,31,61,106,12,9,5,22,0.5714285714285714,0.7058823529411765,0.631578947368421,0.7083333333333334,0.8462998102466793,0.52,0.9375,0.9202453987730062,0.9554140127388535,0.06841409161957436,0.06873905429071804
20,hybrid_xgboost,167,48,17,31,61,106,15,10,2,21,0.6,0.8823529411764706,0.7142857142857143,0.75,0.8842504743833017,0.5,0.9292307692307692,0.9151515151515152,0.94375,0.06757244198629314,0.07005253940455342
21,rule_definition,167,48,17,31,61,106,15,6,2,25,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.844402277039848,,,,,,
21,xgboost_baseline,167,48,17,31,61,106,13,9,4,22,0.5909090909090909,0.7647058823529411,0.6666666666666666,0.7291666666666666,0.8406072106261859,0.86,0.9325513196480938,0.9352941176470588,0.9298245614035088,0.06755436110432446,0.07080745341614907
21,hybrid_xgboost,167,48,17,31,61,106,14,13,3,18,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.6666666666666666,0.8481973434535104,0.56,0.8961748633879781,0.841025641025641,0.9590643274853801,0.0673100415343269,0.07080745341614907
22,rule_definition,167,48,17,31,61,106,12,5,5,26,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7916666666666666,0.7722960151802657,,,,,,
22,xgboost_baseline,167,48,17,31,61,106,12,5,5,26,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7916666666666666,0.9108159392789373,0.82,0.9290322580645162,0.9,0.96,0.0697477977555207,0.06482281763180639
22,hybrid_xgboost,167,48,17,31,61,106,13,6,4,25,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.7916666666666666,0.9240986717267552,0.6,0.9118541033434651,0.8771929824561403,0.9493670886075949,0.06805840473030048,0.0682800345721694
23,rule_definition,167,48,17,31,61,106,13,6,4,25,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.7916666666666666,0.7855787476280834,,,,,,
23,xgboost_baseline,167,48,17,31,61,106,14,8,3,23,0.6363636363636364,0.8235294117647058,0.717948717948718,0.7708333333333334,0.8614800759013282,0.54,0.9061224489795918,0.8951612903225806,0.9173553719008265,0.06978890298765716,0.06262939958592133
23,hybrid_xgboost,167,48,17,31,61,106,14,5,3,26,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8333333333333334,0.8747628083491461,0.68,0.9008264462809917,0.8934426229508197,0.9083333333333333,0.06944284231168532,0.062111801242236024
24,rule_definition,167,48,17,31,61,106,14,4,3,27,0.7777777777777778,0.8235294117647058,0.8,0.8541666666666666,0.8472485768500948,,,,,,
24,xgboost_baseline,167,48,17,31,61,106,14,6,3,25,0.7,0.8235294117647058,0.7567567567567568,0.8125,0.888045540796964,0.74,0.9149560117302052,0.8914285714285715,0.9397590361445783,0.06797528171573973,0.0706984667802385
24,hybrid_xgboost,167,48,17,31,61,106,14,5,3,26,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8333333333333334,0.9108159392789374,0.82,0.9171597633136095,0.9064327485380117,0.9281437125748503,0.06724827335514358,0.07112436115843271
25,rule_definition,167,48,17,31,61,106,12,6,5,25,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.7708333333333334,0.7561669829222012,,,,,,
25,xgboost_baseline,167,48,17,31,61,106,11,10,6,21,0.5238095238095238,0.6470588235294118,0.5789473684210527,0.6666666666666666,0.7817836812144212,0.68,0.9032258064516129,0.8873239436619719,0.9197080291970803,0.07059949742730645,0.06105169340463458
25,hybrid_xgboost,167,48,17,31,61,106,13,8,4,23,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.75,0.8444022770398483,0.74,0.9025270758122743,0.8928571428571429,0.9124087591240876,0.07000119660165131,0.06105169340463458
26,rule_definition,167,48,17,31,61,106,11,7,6,24,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.7291666666666666,0.7106261859582543,,,,,,
26,xgboost_baseline,167,48,17,31,61,106,9,7,8,24,0.5625,0.5294117647058824,0.5454545454545454,0.6875,0.74573055028463,0.86,0.918918918918919,0.9066666666666666,0.9315068493150684,0.0681924882629108,0.07015857760691975
26,hybrid_xgboost,167,48,17,31,61,106,9,6,8,25,0.6,0.5294117647058824,0.5625,0.7083333333333334,0.7988614800759014,0.86,0.8819444444444444,0.8698630136986302,0.8943661971830986,0.06807511737089202,0.06823642479577126
27,rule_definition,167,48,17,31,61,106,11,5,6,26,0.6875,0.6470588235294118,0.6666666666666666,0.7708333333333334,0.7428842504743833,,,,,,
27,xgboost_baseline,167,48,17,31,61,106,9,7,8,24,0.5625,0.5294117647058824,0.5454545454545454,0.6875,0.8159392789373814,0.66,0.926829268292683,0.8976377952755905,0.957983193277311,0.07162987317989666,0.05707434052757794
27,hybrid_xgboost,167,48,17,31,61,106,14,7,3,24,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.7916666666666666,0.8880455407969639,0.54,0.8852459016393442,0.864,0.907563025210084,0.07080789102865195,0.05707434052757794
28,rule_definition,167,48,17,31,61,106,10,6,7,25,0.625,0.5882352941176471,0.6060606060606061,0.7291666666666666,0.6973434535104364,,,,,,
28,xgboost_baseline,167,48,17,31,61,106,10,9,7,22,0.5263157894736842,0.5882352941176471,0.5555555555555556,0.6666666666666666,0.8045540796963947,0.72,0.9370629370629371,0.9115646258503401,0.9640287769784173,0.06962473448194477,0.06535025858015985
28,hybrid_xgboost,167,48,17,31,61,106,14,4,3,27,0.7777777777777778,0.8235294117647058,0.8,0.8541666666666666,0.8937381404174574,0.7,0.9198606271777003,0.9041095890410958,0.9361702127659575,0.06856266226103375,0.06629055007052186
29,rule_definition,167,48,17,31,61,106,11,7,6,24,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.7291666666666666,0.7106261859582543,,,,,,
29,xgboost_baseline,167,48,17,31,61,106,11,7,6,24,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.7291666666666666,0.8140417457305502,0.88,0.8956228956228957,0.869281045751634,0.9236111111111112,0.07030025322561197,0.06239168110918544
29,hybrid_xgboost,167,48,17,31,61,106,12,5,5,26,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7916666666666666,0.8462998102466792,0.88,0.8958333333333334,0.8896551724137931,0.9020979020979021,0.06981791872663692,0.06195840554592721
30,rule_definition,167,48,17,31,61,106,11,12,6,19,0.4782608695652174,0.6470588235294118,0.55,0.625,0.6299810246679317,,,,,,
30,xgboost_baseline,167,48,17,31,61,106,12,13,5,18,0.48,0.7058823529411765,0.5714285714285714,0.625,0.7400379506641367,0.42,0.9424083769633508,0.9230769230769231,0.9625668449197861,0.06454337073229581,0.08088235294117647
30,hybrid_xgboost,167,48,17,31,61,106,12,8,5,23,0.6,0.7058823529411765,0.6486486486486487,0.7291666666666666,0.7836812144212524,0.78,0.9354838709677419,0.9508196721311475,0.9206349206349206,0.06430208710339004,0.08174740484429066
31,rule_definition,167,48,17,31,61,106,14,7,3,24,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.7916666666666666,0.7988614800759013,,,,,,
31,xgboost_baseline,167,48,17,31,61,106,14,6,3,25,0.7,0.8235294117647058,0.7567567567567568,0.8125,0.8842504743833017,0.78,0.8888888888888888,0.8333333333333334,0.9523809523809523,0.06823557237464523,0.06853146853146853
31,hybrid_xgboost,167,48,17,31,61,106,15,3,2,28,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.8958333333333334,0.9070208728652752,0.78,0.86875,0.8128654970760234,0.9328859060402684,0.06776253547776727,0.06946386946386947
32,rule_definition,167,48,17,31,61,106,13,5,4,26,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.8125,0.8017077798861479,,,,,,
32,xgboost_baseline,167,48,17,31,61,106,14,11,3,20,0.56,0.8235294117647058,0.6666666666666666,0.7083333333333334,0.8766603415559773,0.54,0.9396825396825397,0.9135802469135802,0.9673202614379085,0.06961795027289266,0.06494057724957555
32,hybrid_xgboost,167,48,17,31,61,106,15,9,2,22,0.625,0.8823529411764706,0.7317073170731707,0.7708333333333334,0.9392789373814041,0.64,0.9164086687306502,0.8809523809523809,0.9548387096774194,0.0687689508793208,0.06578947368421052
33,rule_definition,167,48,17,31,61,106,13,7,4,24,0.65,0.7647058823529411,0.7027027027027027,0.7708333333333334,0.7694497153700189,,,,,,
33,xgboost_baseline,167,48,17,31,61,106,13,8,4,23,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.75,0.8519924098671726,0.86,0.891156462585034,0.8733333333333333,0.9097222222222222,0.06922435362802336,0.06521739130434782
33,hybrid_xgboost,167,48,17,31,61,106,15,14,2,17,0.5172413793103449,0.8823529411764706,0.6521739130434783,0.6666666666666666,0.8918406072106262,0.6,0.8774193548387097,0.8192771084337349,0.9444444444444444,0.06886691290361015,0.06521739130434782
34,rule_definition,167,48,17,31,61,106,11,6,6,25,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.75,0.7267552182163187,,,,,,
34,xgboost_baseline,167,48,17,31,61,106,13,11,4,20,0.5416666666666666,0.7647058823529411,0.6341463414634146,0.6875,0.8216318785578749,0.52,0.9072164948453608,0.8627450980392157,0.9565217391304348,0.0704141305645065,0.062106210621062106
34,hybrid_xgboost,167,48,17,31,61,106,13,5,4,26,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.8125,0.8614800759013281,0.72,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.0694593626924454,0.063006300630063
35,rule_definition,167,48,17,31,61,106,13,5,4,26,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.8125,0.8017077798861479,,,,,,
35,xgboost_baseline,167,48,17,31,61,106,11,6,6,25,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.75,0.8652751423149905,0.9,0.9068825910931174,0.9105691056910569,0.9032258064516129,0.0697513013302487,0.06339468302658487
35,hybrid_xgboost,167,48,17,31,61,106,14,7,3,24,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.7916666666666666,0.8519924098671727,0.6,0.8787878787878788,0.8285714285714286,0.9354838709677419,0.06917293233082707,0.06339468302658487
36,rule_definition,167,48,17,31,61,106,14,4,3,27,0.7777777777777778,0.8235294117647058,0.8,0.8541666666666666,0.8472485768500948,,,,,,
36,xgboost_baseline,167,48,17,31,61,106,13,2,4,29,0.8666666666666667,0.7647058823529411,0.8125,0.875,0.9449715370018975,0.84,0.9333333333333333,0.9459459459459459,0.9210526315789473,0.06873879258816497,0.06797853309481217
36,hybrid_xgboost,167,48,17,31,61,106,15,1,2,30,0.9375,0.8823529411764706,0.9090909090909091,0.9375,0.9639468690702088,0.74,0.9003215434083601,0.8974358974358975,0.9032258064516129,0.06778242677824267,0.06932021466905187
37,rule_definition,167,48,17,31,61,106,11,7,6,24,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.7291666666666666,0.7106261859582543,,,,,,
37,xgboost_baseline,167,48,17,31,61,106,12,9,5,22,0.5714285714285714,0.7058823529411765,0.631578947368421,0.7083333333333334,0.7760910815939278,0.84,0.9253731343283582,0.8985507246376812,0.9538461538461539,0.06982456140350878,0.06338371526084836
37,hybrid_xgboost,167,48,17,31,61,106,10,7,7,24,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.7083333333333334,0.7969639468690701,0.88,0.8897338403041825,0.8731343283582089,0.9069767441860465,0.06935672514619882,0.0628961482203803
38,rule_definition,167,48,17,31,61,106,11,6,6,25,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.75,0.7267552182163187,,,,,,
38,xgboost_baseline,167,48,17,31,61,106,11,5,6,26,0.6875,0.6470588235294118,0.6666666666666666,0.7708333333333334,0.8519924098671726,0.82,0.9010989010989011,0.9111111111111111,0.8913043478260869,0.06883677517209194,0.06798029556650247
38,hybrid_xgboost,167,48,17,31,61,106,13,6,4,25,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.7916666666666666,0.8861480075901328,0.72,0.9032258064516129,0.8873239436619719,0.9197080291970803,0.06825341267063353,0.06748768472906404
39,rule_definition,167,48,17,31,61,106,14,10,3,21,0.5833333333333334,0.8235294117647058,0.6829268292682927,0.7291666666666666,0.7504743833017078,,,,,,
39,xgboost_baseline,167,48,17,31,61,106,13,14,4,17,0.48148148148148145,0.7647058823529411,0.5909090909090909,0.625,0.8083491461100569,0.42,0.9164265129682997,0.8688524590163934,0.9695121951219512,0.06604221010196823,0.07568066451315182
39,hybrid_xgboost,167,48,17,31,61,106,13,12,4,19,0.52,0.7647058823529411,0.6190476190476191,0.6666666666666666,0.8197343453510437,0.44,0.896551724137931,0.8432432432432433,0.9570552147239264,0.06627934550628409,0.07521919704660822
40,rule_definition,167,48,17,31,61,106,11,7,6,24,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.7291666666666666,0.7106261859582543,,,,,,
40,xgboost_baseline,167,48,17,31,61,106,12,6,5,25,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.7708333333333334,0.8406072106261859,0.72,0.9364548494983278,0.9395973154362416,0.9333333333333333,0.06898613103778097,0.06705409029950828
40,hybrid_xgboost,167,48,17,31,61,106,12,3,5,28,0.8,0.7058823529411765,0.75,0.8333333333333334,0.855787476280835,0.72,0.9108910891089109,0.9324324324324325,0.8903225806451613,0.06779053084648494,0.06928922664282522
41,rule_definition,167,48,17,31,61,106,10,6,7,25,0.625,0.5882352941176471,0.6060606060606061,0.7291666666666666,0.6973434535104364,,,,,,
41,xgboost_baseline,167,48,17,31,61,106,10,8,7,23,0.5555555555555556,0.5882352941176471,0.5714285714285714,0.6875,0.7817836812144213,0.76,0.9177215189873418,0.9177215189873418,0.9177215189873418,0.06762198010421601,0.07324988409828466
41,hybrid_xgboost,167,48,17,31,61,106,12,6,5,25,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.7708333333333334,0.8216318785578748,0.74,0.9032258064516129,0.8974358974358975,0.9090909090909091,0.06726669824727617,0.07139545665275845
42,rule_definition,167,48,17,31,61,106,11,9,6,22,0.55,0.6470588235294118,0.5945945945945946,0.6875,0.6783681214421253,,,,,,
42,xgboost_baseline,167,48,17,31,61,106,11,9,6,22,0.55,0.6470588235294118,0.5945945945945946,0.6875,0.7950664136622392,0.86,0.8973384030418251,0.8939393939393939,0.9007633587786259,0.07057984790874525,0.05995423340961099
42,hybrid_xgboost,167,48,17,31,61,106,11,10,6,21,0.5238095238095238,0.6470588235294118,0.5789473684210527,0.6666666666666666,0.8292220113851992,0.74,0.8478260869565217,0.7905405405405406,0.9140625,0.07057984790874525,0.058581235697940506
43,rule_definition,167,48,17,31,61,106,12,4,5,27,0.75,0.7058823529411765,0.7272727272727273,0.8125,0.7884250474383302,,,,,,
43,xgboost_baseline,167,48,17,31,61,106,12,8,5,23,0.6,0.7058823529411765,0.6486486486486487,0.7291666666666666,0.8671726755218216,0.7,0.9316770186335404,0.9036144578313253,0.9615384615384616,0.06814938154138915,0.07113543091655267
43,hybrid_xgboost,167,48,17,31,61,106,14,6,3,25,0.7,0.8235294117647058,0.7567567567567568,0.8125,0.9259962049335863,0.76,0.9240506329113924,0.906832298136646,0.9419354838709677,0.06743577545195052,0.07067943456452348
44,rule_definition,167,48,17,31,61,106,15,9,2,22,0.625,0.8823529411764706,0.7317073170731707,0.7708333333333334,0.7960151802656547,,,,,,
