candidate_cache_version,match_id,team_id,start_event_id,label_counterattack,regain_type,match_period,start_ts,attacking_left,stop_reason,first_action_type,first_action_time_s,tracking_start_dt_s,source_label,short_duration_s,in_play_2s,event_count_pass_2s,event_count_touch_2s,event_count_duel_2s,event_count_clearance_2s,event_count_shot_2s,mid_duration_s,in_play_5s,event_count_pass_5s,event_count_touch_5s,event_count_duel_5s,event_count_clearance_5s,event_count_shot_5s,ten_duration_s,in_play_10s,event_count_pass_10s,event_count_touch_10s,event_count_duel_10s,event_count_clearance_10s,event_count_shot_10s,fifteen_duration_s,in_play_15s,event_count_pass_15s,event_count_touch_15s,event_count_duel_15s,event_count_clearance_15s,event_count_shot_15s,long_duration_s,in_play_20s,event_count_pass_20s,event_count_touch_20s,event_count_duel_20s,event_count_clearance_20s,event_count_shot_20s,short_start_progress_m,short_start_zone,short_start_goal_distance_m,short_min_goal_distance_m,short_end_progress_m,short_progression_goal_m,short_progression_x_m,short_directness_goal,short_avg_progress_speed_mps,mid_start_progress_m,mid_start_zone,mid_start_goal_distance_m,mid_min_goal_distance_m,mid_end_progress_m,mid_progression_goal_m,mid_progression_x_m,mid_directness_goal,mid_avg_progress_speed_mps,ten_start_progress_m,ten_start_zone,ten_start_goal_distance_m,ten_min_goal_distance_m,ten_end_progress_m,ten_progression_goal_m,ten_progression_x_m,ten_directness_goal,ten_avg_progress_speed_mps,fifteen_start_progress_m,fifteen_start_zone,fifteen_start_goal_distance_m,fifteen_min_goal_distance_m,fifteen_end_progress_m,fifteen_progression_goal_m,fifteen_progression_x_m,fifteen_directness_goal,fifteen_avg_progress_speed_mps,long_start_progress_m,long_start_zone,long_start_goal_distance_m,long_min_goal_distance_m,long_end_progress_m,long_progression_goal_m,long_progression_x_m,long_directness_goal,long_avg_progress_speed_mps,tracking_start_x_m_raw,tracking_start_y_m_raw
6,5544194,3148,2218718272,0,interception,1H,98.87,1,opponent_on_ball,none,,0.014679999999998472,Germany - Scotland,1.5499999999999972,1.5499999999999972,0,0,0,0,0,1.5499999999999972,1.5499999999999972,0,0,0,0,0,1.5499999999999972,1.5499999999999972,0,0,0,0,0,1.5499999999999972,1.5499999999999972,0,0,0,0,0,1.5499999999999972,1.5499999999999972,0,0,0,0,0,30.829900550638428,defensive_third,76.67801032985119,66.09663307342947,40.855563357002836,10.581377256421717,10.025662806364409,1.0,6.961432405540622,30.829900550638428,defensive_third,76.67801032985119,66.09663307342947,40.855563357002836,10.581377256421717,10.025662806364409,1.0,6.961432405540622,30.829900550638428,defensive_third,76.67801032985119,66.09663307342947,40.855563357002836,10.581377256421717,10.025662806364409,1.0,6.961432405540622,30.829900550638428,defensive_third,76.67801032985119,66.09663307342947,40.855563357002836,10.581377256421717,10.025662806364409,1.0,6.961432405540622,30.829900550638428,defensive_third,76.67801032985119,66.09663307342947,40.855563357002836,10.581377256421717,10.025662806364409,1.0,6.961432405540622,21.670099449361572,19.450285751540548
6,5544194,8664,2218716812,0,duel_regain,1H,111.813,0,opponent_on_ball,pass,1.5889999999999986,0.0023199999999974352,Germany - Scotland,1.5889999999999986,1.5889999999999986,1,0,0,0,0,1.5889999999999986,1.5889999999999986,1,0,0,0,0,1.5889999999999986,1.5889999999999986,1,0,0,0,0,1.5889999999999986,1.5889999999999986,1,0,0,0,0,1.5889999999999986,1.5889999999999986,1,0,0,0,0,11.597873469584954,defensive_third,95.0599413403367,92.79006145257677,16.038731010336832,2.2698798877599415,4.440857540751878,0.6266250275215401,1.4550512101025246,11.597873469584954,defensive_third,95.0599413403367,92.79006145257677,16.038731010336832,2.2698798877599415,4.440857540751878,0.6266250275215401,1.4550512101025246,11.597873469584954,defensive_third,95.0599413403367,92.79006145257677,16.038731010336832,2.2698798877599415,4.440857540751878,0.6266250275215401,1.4550512101025246,11.597873469584954,defensive_third,95.0599413403367,92.79006145257677,16.038731010336832,2.2698798877599415,4.440857540751878,0.6266250275215401,1.4550512101025246,11.597873469584954,defensive_third,95.0599413403367,92.79006145257677,16.038731010336832,2.2698798877599415,4.440857540751878,0.6266250275215401,1.4550512101025246,-40.902126530415046,17.675836818227154
6,5544194,8664,2218716816,0,duel_regain,1H,143.933,0,game_interruption,duel,0.03100000000000591,0.0023199999999974352,Germany - Scotland,0.12600000000000477,0.12600000000000477,0,0,1,0,0,3.2890000000000157,3.2890000000000157,0,0,2,0,0,6.1200000000000045,5.002319999999997,1,0,3,0,0,6.1200000000000045,5.002319999999997,1,0,3,0,0,6.1200000000000045,5.002319999999997,1,0,3,0,0,43.29462131325608,middle_third,69.24364164739964,69.24364164739964,43.18136631477179,0.0,0.0,0.0,0.0,43.29462131325608,middle_third,69.24364164739964,69.24364164739964,40.06343726363376,0.0,0.0,0.0,0.0,43.29462131325608,middle_third,69.24364164739964,68.6456167218551,41.30414967924887,0.5980249255445358,0.6384647772962779,0.0383746131979561,0.11412689418788831,43.29462131325608,middle_third,69.24364164739964,68.6456167218551,41.30414967924887,0.5980249255445358,0.6384647772962779,0.0383746131979561,0.11412689418788831,43.29462131325608,middle_third,69.24364164739964,68.6456167218551,41.30414967924887,0.5980249255445358,0.6384647772962779,0.0383746131979561,0.11412689418788831,-9.20537868674392,31.418595603862187
6,5544194,3148,2218716702,0,interception,1H,272.526,1,opponent_on_ball,duel,1.5489999999999782,0.009320000000002437,Germany - Scotland,1.8079999999999927,1.8079999999999927,0,0,1,0,0,1.8079999999999927,1.8079999999999927,0,0,1,0,0,1.8079999999999927,1.8079999999999927,0,0,1,0,0,1.8079999999999927,1.8079999999999927,0,0,1,0,0,1.8079999999999927,1.8079999999999927,0,0,1,0,0,40.14036385063922,middle_third,64.86472559682608,64.86472559682608,38.38119231494039,0.0,0.0,0.0,0.0,40.14036385063922,middle_third,64.86472559682608,64.86472559682608,38.38119231494039,0.0,0.0,0.0,0.0,40.14036385063922,middle_third,64.86472559682608,64.86472559682608,38.38119231494039,0.0,0.0,0.0,0.0,40.14036385063922,middle_third,64.86472559682608,64.86472559682608,38.38119231494039,0.0,0.0,0.0,0.0,40.14036385063922,middle_third,64.86472559682608,64.86472559682608,38.38119231494039,0.0,0.0,0.0,0.0,12.359636149360782,0.8125425060118019
6,5544194,3148,2218716705,0,interception,1H,317.899,1,opponent_on_ball,none,,0.0036799999999743704,Germany - Scotland,1.8269999999999982,1.8269999999999982,0,0,0,0,0,1.8269999999999982,1.8269999999999982,0,0,0,0,0,1.8269999999999982,1.8269999999999982,0,0,0,0,0,1.8269999999999982,1.8269999999999982,0,0,0,0,0,1.8269999999999982,1.8269999999999982,0,0,0,0,0,19.234184911808057,defensive_third,85.8432998991051,79.37301050756514,18.976467498056692,6.470289391539964,6.409475537627401,0.4905392864166952,3.676300790647726,19.234184911808057,defensive_third,85.8432998991051,79.37301050756514,18.976467498056692,6.470289391539964,6.409475537627401,0.4905392864166952,3.676300790647726,19.234184911808057,defensive_third,85.8432998991051,79.37301050756514,18.976467498056692,6.470289391539964,6.409475537627401,0.4905392864166952,3.676300790647726,19.234184911808057,defensive_third,85.8432998991051,79.37301050756514,18.976467498056692,6.470289391539964,6.409475537627401,0.4905392864166952,3.676300790647726,19.234184911808057,defensive_third,85.8432998991051,79.37301050756514,18.976467498056692,6.470289391539964,6.409475537627401,0.4905392864166952,3.676300790647726,33.26581508819194,-3.646518864035251
6,5544194,8664,2218716887,0,duel_regain,1H,409.549,0,opponent_on_ball,touch,1.1520000000000437,0.013679999999965275,Germany - Scotland,1.1520000000000437,1.1520000000000437,0,1,0,0,0,3.4610000000000127,3.4610000000000127,1,1,0,0,0,3.4610000000000127,3.4610000000000127,1,1,0,0,0,3.4610000000000127,3.4610000000000127,1,1,0,0,0,3.4610000000000127,3.4610000000000127,1,1,0,0,0,18.941556399339007,defensive_third,88.30354354814105,88.30354354814105,11.384899573206958,0.0,0.05527892204440832,0.0,0.0,18.941556399339007,defensive_third,88.30354354814105,83.869197173743,25.746208121941343,4.4343463743980465,6.804651722602337,0.14198543140973416,1.3042195218817654,18.941556399339007,defensive_third,88.30354354814105,83.869197173743,25.746208121941343,4.4343463743980465,6.804651722602337,0.14198543140973416,1.3042195218817654,18.941556399339007,defensive_third,88.30354354814105,83.869197173743,25.746208121941343,4.4343463743980465,6.804651722602337,0.14198543140973416,1.3042195218817654,18.941556399339007,defensive_third,88.30354354814105,83.869197173743,25.746208121941343,4.4343463743980465,6.804651722602337,0.14198543140973416,1.3042195218817654,-33.55844360066099,-19.785350342874693
6,5544194,3148,2218716803,0,duel_regain,1H,577.798,1,window_end,duel,3.5090000000000146,0.017320000000040636,Germany - Scotland,2.0,2.0,0,0,0,0,0,3.5090000000000146,3.5090000000000146,0,0,1,0,0,6.697999999999979,6.697999999999979,2,0,1,0,0,10.500999999999976,10.500999999999976,3,0,1,0,0,19.037000000000035,17.137320000000045,4,0,1,0,1,55.11485395048731,middle_third,52.1043563167831,51.55321426140292,60.13178920468621,0.5511420553801756,5.0169352541988985,0.7321415687280409,0.2811949262143864,55.11485395048731,middle_third,52.1043563167831,51.55321426140292,58.49917864247428,0.5511420553801756,6.073115237420659,0.12339035350437633,0.15837415384488238,55.11485395048731,middle_third,52.1043563167831,51.55321426140292,52.5997851762791,0.5511420553801756,6.073115237420659,0.026980776990116338,0.08250629571559577,55.11485395048731,middle_third,52.1043563167831,40.20293763841221,64.8834751927797,11.901418678370888,9.76862124229239,0.31487382146189496,1.1356315532796752,55.11485395048731,middle_third,52.1043563167831,1.5972294550166957,106.77072176332659,50.5071268617664,52.2570657960621,0.6022740680262749,2.658269834829811,-2.6148539504873085,15.04447243359111
6,5544194,8664,2218716954,0,duel_regain,1H,690.757,0,opponent_on_ball,pass,1.4350000000000591,0.01832000000001699,Germany - Scotland,1.9530000000000882,1.9530000000000882,1,1,0,0,0,3.4500000000000455,3.4500000000000455,2,1,0,0,0,9.032000000000039,9.032000000000039,3,2,0,0,0,12.253000000000043,12.253000000000043,4,2,0,0,0,18.179000000000087,18.179000000000087,6,2,0,0,0,59.8557489659986,middle_third,53.596679187993665,53.379666829022945,51.072536698558395,0.21701235897072024,0.0,0.030576957216457836,0.11302727029724584,59.8557489659986,middle_third,53.596679187993665,53.379666829022945,33.5257248823378,0.21701235897072024,0.0,0.010122803414045934,0.06382716440315131,59.8557489659986,middle_third,53.596679187993665,53.379666829022945,14.950898449480022,0.21701235897072024,0.0,0.005293160389084998,0.024112484330080026,59.8557489659986,middle_third,53.596679187993665,53.379666829022945,18.647970148212977,0.21701235897072024,0.0,0.005039604910277819,0.017787898276288478,59.8557489659986,middle_third,53.596679187993665,53.379666829022945,25.247630702860494,0.21701235897072024,0.0,0.0033397515592704075,0.011950019767110092,7.3557489659986,-28.8894551447371
6,5544194,3148,2218716848,0,interception,1H,710.498,1,game_interruption,none,,0.0026800000000548607,Germany - Scotland,2.0,1.3573199999999588,0,0,0,0,0,5.0,1.3573199999999588,0,0,0,0,0,6.107999999999947,1.467999999999961,0,0,0,0,0,6.107999999999947,1.467999999999961,0,0,0,0,0,6.107999999999947,1.467999999999961,0,0,0,0,0,78.1591552464256,attacking_third,38.44298235670872,38.44298235670872,77.07801707594999,0.0,0.0,0.0,0.0,78.1591552464256,attacking_third,38.44298235670872,38.44298235670872,78.89539287139776,0.0,1.5740517274803096,0.0,0.0,78.1591552464256,attacking_third,38.44298235670872,38.44298235670872,79.97743578010937,0.0,1.818280533683776,0.0,0.0,78.1591552464256,attacking_third,38.44298235670872,38.44298235670872,79.97743578010937,0.0,1.818280533683776,0.0,0.0,78.1591552464256,attacking_third,38.44298235670872,38.44298235670872,79.97743578010937,0.0,1.818280533683776,0.0,0.0,-25.65915524642559,27.521481526123097
6,5544194,3148,2218716860,0,duel_regain,1H,739.378,1,window_end,duel,1.0229999999999109,0.0026800000000548607,Germany - Scotland,1.0229999999999109,1.0229999999999109,0,0,1,0,0,4.5919999999999845,4.5919999999999845,2,0,1,0,0,8.1339999999999,8.1339999999999,3,0,1,0,0,14.884999999999991,14.884999999999991,5,0,1,0,0,19.428999999999974,19.428999999999974,6,0,1,0,0,51.81407145595204,middle_third,55.90276945990862,55.861948687782565,49.16691829302977,0.04082077212605384,0.07479043403277075,0.013339320948276367,0.04252163763130447,51.81407145595204,middle_third,55.90276945990862,51.774848029758196,53.22608971368063,4.127921430150423,1.4638721002330612,0.14491640744790835,0.913256953573083,51.81407145595204,middle_third,55.90276945990862,51.774848029758196,48.33111330419135,4.127921430150423,1.4941321649324948,0.11154888053035282,0.5108813651176239,51.81407145595204,middle_third,55.90276945990862,51.774848029758196,42.394245794740975,4.127921430150423,1.4941321649324948,0.08553347246421282,0.2781618214387071,51.81407145595204,middle_third,55.90276945990862,51.774848029758196,44.841117425511115,4.127921430150423,1.4941321649324948,0.07287000269530478,0.2132190821358688,0.685928544047961,17.215592879570416
