dataset,n_items,n_raters,rater_names,positive_majority_count,negative_majority_count,unanimous_count,unanimous_share,mean_agreement_share,mean_pairwise_agreement,fleiss_kappa,agreement_vote_distribution,excluded_error_clips
old48_validation_set,48,7,"['Nicolai', 'Christoffer', 'Mikkel', 'Son', 'Rida', 'Malik', 'Christian']",25,23,29,0.6041666666666666,0.8988095238095237,0.8373015873015873,0.6743146920103551,"{'4': 5, '5': 5, '6': 9, '7': 29}",
new170_annotation_set,170,7,"['Nicolai', 'Christoffer', 'Mikkel', 'Son', 'Rida', 'Malik', 'Christian']",56,114,131,0.7705882352941177,0.9453781512605043,0.907563025210084,0.7899476554050368,"{'4': 4, '5': 18, '6': 17, '7': 131}",10.0
