profile,coordinate_source,match_id,team_id,match_period,start_event_id,start_type,start_ts,end_ts,duration_s,in_play_duration_s,start_x,max_x,end_x,progression_x,directness,pass_count,action_count,start_zone,success_primary_shot,success_primary_shot_box,goal_count,success_secondary_box_entry,success_secondary_final_third_entry,start_goal_distance_m,min_goal_distance_m,progression_goal_m,avg_progress_speed_mps,required_speed_mps,speed_ratio,progress_fraction,time_fraction,scaled_ratio_to_max,scaled_distance_factor,scaled_max_duration_s,scaled_max_passes,required_min_duration_s,tracking_start_x_m_raw,tracking_start_y_m_raw,tracking_attacking_left,tracking_start_dt_s
balanced_v2_scaled_tracking_coords,tracking,5544194,3148,1H,2218717200,duel,1713.021,1721.324,8.303000000000111,8.303000000000111,36.76698690101239,69.93787511665286,69.93787511665286,33.170888215640474,0.9675547202925913,1,4,middle_third,0,0,0,0,0,75.2948248690204,39.58987226053477,35.704952608485634,4.300247212873077,3.4722222222222223,1.2384711973074463,0.47420194775134167,0.34092701685078214,0.6814633909757564,1.4325991797818074,24.354186056290725,8,3.4747573299855374,15.733013098987612,-31.836560358962103,1,0.00567999999998392
balanced_v2_scaled_tracking_coords,tracking,5544194,8664,1H,2218717234,interception,2084.571,2104.198,19.626999999999953,19.626999999999953,18.44374743753078,94.00110136886791,94.00110136886791,75.55735393133713,0.8753099354005197,6,8,defensive_third,0,0,0,1,1,86.58407336193176,13.368705026110137,73.21536833582162,3.730339243685831,3.4722222222222223,1.0743377021815192,0.8455985667222267,0.7000455368307541,0.7845064919554425,1.6492204449891763,28.036747564815997,9,3.7365178937495602,-34.05625256246922,-2.1947442416876157,0,0.004320000000006985
balanced_v2_scaled_tracking_coords,tracking,5544194,3148,1H,2218717485,duel,2803.775,2808.221,4.445999999999913,3.4856799999997747,57.202145258007505,87.65686408422509,77.26460264514384,30.454718826217587,0.9195964903191001,3,3,middle_third,0,0,0,0,1,59.00847604346808,30.021789838292438,28.98668620517564,6.519722493291995,3.3851454581850464,1.9259800129202007,0.491229195341748,0.23268342174321682,0.5346541314011597,1.1239709722565348,19.107506528361093,6,3.1828264963141786,-4.702145258007505,34.602967026483896,1,0.00032000000010157237
balanced_v2_scaled_tracking_coords,tracking,5544194,3148,2H,2218718127,interception,4829.251,4837.488,8.23700000000008,6.324319999999716,73.14346781440312,109.6879252238355,109.6879252238355,36.54445740943238,0.8385995952571128,3,4,attacking_third,0,0,0,1,1,43.066934660322126,7.075193968526707,35.99174069179542,4.369520540463163,3.089935781214757,1.4141137065137834,0.8357163326266374,0.5906571786053613,0.39021367923420336,0.8203225649585166,13.945483604294783,5,2.955093316937098,20.643467814403124,-28.98141159682332,0,0.004320000000006985
balanced_v2_scaled_tracking_coords,tracking,5544194,3148,2H,2218718141,interception,4917.148,4926.32,9.17199999999957,9.17199999999957,28.952240259220954,87.28157088934685,87.28157088934685,58.329330630125895,1.0000000000000004,3,5,defensive_third,0,0,0,0,1,76.08455904911837,23.44732293834934,52.637236110769024,5.738904940119002,3.4722222222222223,1.6528046227542725,0.6918254737704096,0.3713845746324486,0.6910494012577543,1.4527512681393442,24.69677155836885,8,3.586396567725415,-23.547759740779046,-2.3660862426224654,0,0.012680000000727887
balanced_v2_scaled_tracking_coords,tracking,5544194,3148,2H,2218718172,duel,5108.694,5115.46,6.765999999999622,3.3213200000000143,68.22438494211848,106.80830857630988,106.80830857630988,38.58392363419141,0.9726776454866253,0,4,middle_third,1,0,0,1,1,40.24835752254325,3.0780787154677274,37.170278807075526,5.493685901134733,3.1810299084792875,1.727014853425577,0.9235228738528353,0.5191516197473516,0.36467558687140045,0.7666353813817762,13.032801483490196,4,3.0253659293983075,15.724384942118476,16.35495094388797,0,0.0013199999993958045
balanced_v2_scaled_tracking_coords,tracking,5544195,6697,2H,2219332147,interception,2964.293,2976.83,12.536999999999807,12.536999999999807,21.634889089629343,76.74648019359226,76.74648019359226,55.11159110396292,0.7611405686290846,4,5,defensive_third,0,0,0,0,1,83.86038552107982,28.25467928286025,55.60570623821957,4.435327928389601,3.4722222222222223,1.277374443376205,0.663074774730699,0.4615236966349983,0.7600961482826375,1.5979040591246616,27.164369005119248,8,3.690930155862438,30.865110910370657,-9.1006891302655,1,0.012999999999919964
balanced_v2_scaled_tracking_coords,tracking,5544195,10451,2H,2219332781,interception,4566.285,4575.214,8.929000000000087,8.929000000000087,46.27864540035103,91.08350224922363,86.83371503572467,44.804856848872596,0.8853176578057247,2,4,middle_third,0,0,0,1,1,59.007825680014946,14.610610872308506,44.39721480770644,4.972249390492329,3.4722222222222223,1.4320078244617906,0.7523953695305046,0.4673084056800948,0.5346482386967476,1.123958584381237,19.10729593448103,6,3.3388764942806994,-6.2213545996489685,5.80740953139324,0,0.03499999999985448
balanced_v2_scaled_tracking_coords,tracking,5544195,6697,2H,2219332692,interception,4685.294,4693.226,7.931999999999789,7.931999999999789,26.429122600998344,59.56788470908559,59.56788470908559,33.13876210808725,0.7885388434203537,3,3,defensive_third,0,0,0,0,0,79.09725701647257,45.67533295952533,33.42192405694724,4.213555730830576,3.4722222222222223,1.2135040504792058,0.42254213758622355,0.309693196413108,0.7166711984767088,1.5066144193613822,25.6124451291435,8,3.6224411057000236,26.070877399001656,9.110065437798518,1,0.02599999999983993
balanced_v2_scaled_tracking_coords,tracking,5544195,10451,2H,2219332899,duel,4862.454,4868.358,5.904000000000451,5.904000000000451,85.76706080760212,98.53617774987154,98.53617774987154,12.76911694226942,0.8751570995226587,1,2,attacking_third,0,0,0,1,1,28.509231381229018,6.509186280354739,22.000045100874278,3.726294901909315,3.088235294117647,1.2066097777611116,0.771681453164658,0.6416847754017652,0.257450372118717,0.5412223118892623,9.200779302117459,3,2.7747562741771126,33.26706080760212,-21.044484407321058,0,0.013999999999214197
