candidate_cache_version,match_id,team_id,start_event_id,label_counterattack,regain_type,match_period,start_ts,attacking_left,stop_reason,first_action_type,first_action_time_s,tracking_start_dt_s,source_label,short_duration_s,in_play_2s,event_count_pass_2s,event_count_touch_2s,event_count_duel_2s,event_count_clearance_2s,event_count_shot_2s,mid_duration_s,in_play_5s,event_count_pass_5s,event_count_touch_5s,event_count_duel_5s,event_count_clearance_5s,event_count_shot_5s,ten_duration_s,in_play_10s,event_count_pass_10s,event_count_touch_10s,event_count_duel_10s,event_count_clearance_10s,event_count_shot_10s,fifteen_duration_s,in_play_15s,event_count_pass_15s,event_count_touch_15s,event_count_duel_15s,event_count_clearance_15s,event_count_shot_15s,long_duration_s,in_play_20s,event_count_pass_20s,event_count_touch_20s,event_count_duel_20s,event_count_clearance_20s,event_count_shot_20s,short_start_progress_m,short_start_zone,short_start_goal_distance_m,short_min_goal_distance_m,short_end_progress_m,short_progression_goal_m,short_progression_x_m,short_directness_goal,short_avg_progress_speed_mps,mid_start_progress_m,mid_start_zone,mid_start_goal_distance_m,mid_min_goal_distance_m,mid_end_progress_m,mid_progression_goal_m,mid_progression_x_m,mid_directness_goal,mid_avg_progress_speed_mps,ten_start_progress_m,ten_start_zone,ten_start_goal_distance_m,ten_min_goal_distance_m,ten_end_progress_m,ten_progression_goal_m,ten_progression_x_m,ten_directness_goal,ten_avg_progress_speed_mps,fifteen_start_progress_m,fifteen_start_zone,fifteen_start_goal_distance_m,fifteen_min_goal_distance_m,fifteen_end_progress_m,fifteen_progression_goal_m,fifteen_progression_x_m,fifteen_directness_goal,fifteen_avg_progress_speed_mps,long_start_progress_m,long_start_zone,long_start_goal_distance_m,long_min_goal_distance_m,long_end_progress_m,long_progression_goal_m,long_progression_x_m,long_directness_goal,long_avg_progress_speed_mps,tracking_start_x_m_raw,tracking_start_y_m_raw,hybrid_probability,hybrid_threshold,hybrid_label,teamName,team_norm,label_no_score,winner_norm,home_goals,away_goals,team_won_match,shot_20s,shot_15s,box_entry_proxy,final_third_entry_proxy,box_shot_proxy,outcome_type,outcome_is_window_endpoint,outcome_event_id,outcome_time_s,outcome_progress_m,outcome_goal_distance_m,outcome_progression_from_start_m,outcome_goal_progression_m,outcome_goal_progression_speed_mps
6,5544194,3148,2218717200,1,duel_regain,1H,1713.021,1,window_end,pass,2.1700000000000728,0.0056799999999839,Germany - Scotland,2.0,2.0,0,0,0,0,0,4.061000000000149,4.061000000000149,1,0,2,0,0,9.950000000000044,9.950000000000044,1,0,3,0,0,9.950000000000044,9.950000000000044,1,0,3,0,0,9.950000000000044,9.950000000000044,1,0,3,0,0,36.76698690101239,middle_third,75.2948248690204,74.22276374002185,38.633459243892275,1.0720611289985555,1.866472342879888,0.4934598305175147,0.546969963774763,36.76698690101239,middle_third,75.2948248690204,68.6225804904826,44.01023271557765,6.672244378537798,7.243245814565256,0.847856068065685,1.6680610946344494,36.76698690101239,middle_third,75.2948248690204,36.53615831210379,71.27258697231503,38.758666556916616,35.22475643650556,0.960278896246132,3.9229419592020434,36.76698690101239,middle_third,75.2948248690204,36.53615831210379,71.27258697231503,38.758666556916616,35.22475643650556,0.960278896246132,3.9229419592020434,36.76698690101239,middle_third,75.2948248690204,36.53615831210379,71.27258697231503,38.758666556916616,35.22475643650556,0.960278896246132,3.9229419592020434,15.733013098987612,-31.836560358962103,0.99605846,0.66,1,Germany,germany,Germany - Scotland,germany,5,1,True,0,0,0,0,0,window_end_20s,1,,9.950000000000044,71.23286452746234,36.918167440515454,34.46587762644995,38.37665742850495,3.8569504953271134
6,5544194,8664,2218717234,1,interception,1H,2084.571,0,window_end,pass,4.035000000000309,0.0043200000000069,Germany - Scotland,2.0,2.0,0,0,0,0,0,4.035000000000309,4.035000000000309,1,0,0,0,0,9.61999999999989,9.61999999999989,3,0,0,0,0,13.622000000000298,13.622000000000298,4,1,0,0,0,19.626999999999953,19.626999999999953,6,1,1,0,0,18.44374743753078,defensive_third,86.58407336193176,81.01155549799148,24.029040597488095,5.572517863940277,5.585293159957313,0.9939392931581053,2.84312135915315,18.44374743753078,defensive_third,86.58407336193176,78.93259151724564,23.80510725909696,7.651481844686117,7.922452681484234,0.623599733431117,1.9128704611715293,18.44374743753078,defensive_third,86.58407336193176,67.90804447730122,37.28490593401775,18.67602888463054,18.84115849648697,0.6445463365468899,1.9454196754823665,18.44374743753078,defensive_third,86.58407336193176,55.5214724924769,55.9126986891754,31.062600869454855,37.46895125164462,0.7509238861797041,2.284014769812872,18.44374743753078,defensive_third,86.58407336193176,13.368705026110137,94.00110136886792,73.21536833582162,75.55735393133713,0.8753099354005197,3.7354779763174473,-34.05625256246922,-2.1947442416876157,0.96570563,0.66,1,Scotland,scotland,Germany - Scotland,germany,5,1,False,0,0,1,1,0,window_end_20s,1,,19.626999999999953,94.16092895508845,13.552824222600293,75.71718151755766,73.03124913933146,3.7209583298176816
6,5544194,3148,2218717485,1,duel_regain,1H,2803.775,1,throw_in,pass,0.9639999999999418,0.0003200000001015,Germany - Scotland,0.9639999999999418,0.0036799999998038,1,0,0,0,0,4.445999999999913,3.4856799999997747,3,0,0,0,0,4.445999999999913,3.4856799999997747,3,0,0,0,0,4.445999999999913,3.4856799999997747,3,0,0,0,0,4.445999999999913,3.4856799999997747,3,0,0,0,0,57.202145258007505,middle_third,59.00847604346808,55.27030075690614,61.327499471669256,3.738175286561941,4.125354213661751,1.0,3.89393259016854,57.202145258007505,middle_third,59.00847604346808,30.02178983829244,77.26460264514384,28.98668620517564,30.454718826217587,0.9195964903191,6.528532929094201,57.202145258007505,middle_third,59.00847604346808,30.02178983829244,77.26460264514384,28.98668620517564,30.454718826217587,0.9195964903191,6.528532929094201,57.202145258007505,middle_third,59.00847604346808,30.02178983829244,77.26460264514384,28.98668620517564,30.454718826217587,0.9195964903191,6.528532929094201,57.202145258007505,middle_third,59.00847604346808,30.02178983829244,77.26460264514384,28.98668620517564,30.454718826217587,0.9195964903191,6.528532929094201,-4.702145258007505,34.602967026483896,0.770198,0.66,1,Germany,germany,Germany - Scotland,germany,5,1,True,0,0,0,1,0,throw_in,0,2218717430,5.1599999999998545,42.0,71.58910531638176,-15.202145258007505,-12.580629272913683,0.0
6,5544194,3148,2218718127,1,interception,2H,4829.251,0,window_end,pass,1.2139999999999418,0.0043200000000069,Germany - Scotland,1.2139999999999418,1.2139999999999418,1,0,0,0,0,2.1099999999996726,2.1099999999996726,2,0,0,0,0,8.23700000000008,6.324319999999716,3,0,1,0,0,8.23700000000008,6.324319999999716,3,0,1,0,0,8.23700000000008,6.324319999999716,3,0,1,0,0,73.14346781440312,attacking_third,43.066934660322126,40.45979749464717,79.4721307134223,2.607137165674956,6.328662899019179,1.0,2.1726143047294597,73.14346781440312,attacking_third,43.066934660322126,37.37671013087111,83.91664002486608,5.690224529451015,10.77317221046296,1.0,2.7356848699284684,73.14346781440312,attacking_third,43.066934660322126,7.075193968526707,109.6879252238355,35.99174069179542,36.54445740943238,0.8385995952571128,5.11246316644824,73.14346781440312,attacking_third,43.066934660322126,7.075193968526707,109.6879252238355,35.99174069179542,36.54445740943238,0.8385995952571128,5.11246316644824,73.14346781440312,attacking_third,43.066934660322126,7.075193968526707,109.6879252238355,35.99174069179542,36.54445740943238,0.8385995952571128,5.11246316644824,20.643467814403124,-28.98141159682332,0.998437,0.66,1,Germany,germany,Germany - Scotland,germany,5,1,True,0,0,1,1,0,window_end_20s,1,,8.23700000000008,109.6879252238355,,36.54445740943238,,
6,5544194,3148,2218718141,1,interception,2H,4917.148,0,opponent_on_ball,duel,1.28899999999976,0.0126800000007278,Germany - Scotland,1.28899999999976,1.28899999999976,0,0,1,0,0,2.8469999999997526,2.8469999999997526,1,0,1,0,0,9.17199999999957,9.17199999999957,3,0,1,0,0,9.17199999999957,9.17199999999957,3,0,1,0,0,9.17199999999957,9.17199999999957,3,0,1,0,0,28.95224025922095,defensive_third,76.08455904911837,73.49597500238288,31.511997431194303,2.588584046735491,2.5597571719733487,1.0,2.0875677796257635,28.95224025922095,defensive_third,76.08455904911837,65.15017240935295,40.13798877217802,10.93438663976542,11.185748512957066,1.0,3.9051380856315223,28.95224025922095,defensive_third,76.08455904911837,23.44732293834934,87.28157088934685,52.637236110769024,58.329330630125895,1.0000000000000004,5.797052435106767,28.95224025922095,defensive_third,76.08455904911837,23.44732293834934,87.28157088934685,52.637236110769024,58.329330630125895,1.0000000000000004,5.797052435106767,28.95224025922095,defensive_third,76.08455904911837,23.44732293834934,87.28157088934685,52.637236110769024,58.329330630125895,1.0000000000000004,5.797052435106767,-23.54775974077905,-2.366086242622466,0.9996669,0.66,1,Germany,germany,Germany - Scotland,germany,5,1,True,0,0,0,1,0,opponent_on_ball,0,2218717820,19.340000000000146,98.7,13.766175939599202,69.74775974077906,62.31838310951917,3.222253521691763
6,5544194,8664,2218717818,0,duel_regain,2H,4934.639,1,opponent_on_ball,pass,1.84900000000016,0.0163199999997232,Germany - Scotland,1.84900000000016,1.84900000000016,1,0,0,0,0,3.7539999999999054,3.7539999999999054,2,0,0,0,0,3.7539999999999054,3.7539999999999054,2,0,0,0,0,3.7539999999999054,3.7539999999999054,2,0,0,0,0,3.7539999999999054,3.7539999999999054,2,0,0,0,0,16.349273759135286,defensive_third,91.28090688238076,64.82926624602585,42.796799651983,26.451640636354895,26.447525892847715,1.0,14.695355909084569,16.349273759135286,defensive_third,91.28090688238076,48.96599661593568,59.6107734952219,42.31491026644507,43.26149973608661,1.0,11.374975878075851,16.349273759135286,defensive_third,91.28090688238076,48.96599661593568,59.6107734952219,42.31491026644507,43.26149973608661,1.0,11.374975878075851,16.349273759135286,defensive_third,91.28090688238076,48.96599661593568,59.6107734952219,42.31491026644507,43.26149973608661,1.0,11.374975878075851,16.349273759135286,defensive_third,91.28090688238076,48.96599661593568,59.6107734952219,42.31491026644507,43.26149973608661,1.0,11.374975878075851,36.150726240864714,21.75437193386945,0.8599108,0.66,1,Scotland,scotland,Germany - Scotland,germany,5,1,False,0,0,0,0,0,opponent_on_ball,0,2218718149,11.046000000000276,66.15,41.87997254058316,49.80072624086472,49.4009343417976,4.472291720242293
6,5544194,3148,2218718172,1,duel_regain,2H,5108.694,0,window_end,duel,1.9089999999996508,0.0013199999993958,Germany - Scotland,1.91399999999976,1.91399999999976,0,0,1,0,0,4.6119999999991705,3.3213200000000143,0,1,2,0,0,6.765999999999622,3.3213200000000143,0,1,2,0,1,6.765999999999622,3.3213200000000143,0,1,2,0,1,6.765999999999622,3.3213200000000143,0,1,2,0,1,68.22438494211848,middle_third,40.24835752254325,27.358193091860574,78.34579414517965,12.890164430682676,10.121409203061177,1.0,6.85647044185209,68.22438494211848,middle_third,40.24835752254325,3.0780787154677274,106.80830857630988,37.170278807075526,38.58392363419141,0.9726776454866252,10.932434943255751,68.22438494211848,middle_third,40.24835752254325,3.0780787154677274,106.80830857630988,37.170278807075526,38.58392363419141,0.9726776454866252,10.932434943255751,68.22438494211848,middle_third,40.24835752254325,3.0780787154677274,106.80830857630988,37.170278807075526,38.58392363419141,0.9726776454866252,10.932434943255751,68.22438494211848,middle_third,40.24835752254325,3.0780787154677274,106.80830857630988,37.170278807075526,38.58392363419141,0.9726776454866252,10.932434943255751,15.724384942118476,16.35495094388797,0.990849,0.66,1,Germany,germany,Germany - Scotland,germany,5,1,True,1,1,1,1,1,shot,0,2218718175,6.765999999999622,77.7,27.308467551292583,9.475615057881527,12.939889971250668,1.9124874329369483
6,5544195,6697,2219332147,1,interception,2H,2964.293,1,opponent_on_ball,pass,2.8539999999998145,0.0129999999999199,Hungary - Switzerland,2.0,2.0,0,0,0,0,0,2.8539999999998145,2.8539999999998145,1,0,0,0,0,9.623999999999796,9.623999999999796,3,1,0,0,0,12.536999999999807,12.536999999999807,4,1,0,0,0,12.536999999999807,12.536999999999807,4,1,0,0,0,21.634889089629343,defensive_third,83.86038552107982,83.52164253762642,16.917508971013824,0.3387429834534003,0.3317301657607707,0.0661709016398728,0.1728280527823439,21.634889089629343,defensive_third,83.86038552107982,83.52164253762642,14.15533998412522,0.3387429834534003,0.3317301657607707,0.0413931994913233,0.1209796369476547,21.634889089629343,defensive_third,83.86038552107982,64.14254806388216,45.881459803037416,19.71783745719766,24.246570713408072,0.5305072294933808,2.06253529887006,21.634889089629343,defensive_third,83.86038552107982,28.25467928286025,76.74648019359226,55.60570623821957,55.11159110396292,0.7611405686290846,4.455585435754767,21.634889089629343,defensive_third,83.86038552107982,28.25467928286025,76.74648019359226,55.60570623821957,55.11159110396292,0.7611405686290846,4.455585435754767,30.865110910370657,-9.1006891302655,0.99735814,0.66,1,Switzerland,switzerland,Hungary - Switzerland,switzerland,1,3,True,0,0,0,1,0,opponent_on_ball,0,2219332227,18.873000000000047,92.4,13.724197608603568,70.76511091037067,70.13618791247626,3.7162182966394366
6,5544195,6697,2219332472,0,interception,2H,4122.245,1,window_end,duel,2.856999999999971,0.0050000000001091,Hungary - Switzerland,2.0,2.0,0,0,0,0,0,4.110999999999876,4.110999999999876,0,0,1,0,0,4.110999999999876,4.110999999999876,0,0,1,0,0,4.110999999999876,4.110999999999876,0,0,1,0,0,4.110999999999876,4.110999999999876,0,0,1,0,0,59.89628740453698,middle_third,55.628853076535314,42.88876071544713,75.96025025988433,12.740092361088188,16.063962855347356,1.0,6.635464771399846,59.89628740453698,middle_third,55.628853076535314,37.000496609700505,83.64095464610128,18.62835646683481,23.7446672415643,1.0,4.657089116708702,59.89628740453698,middle_third,55.628853076535314,37.000496609700505,83.64095464610128,18.62835646683481,23.7446672415643,1.0,4.657089116708702,59.89628740453698,middle_third,55.628853076535314,37.000496609700505,83.64095464610128,18.62835646683481,23.7446672415643,1.0,4.657089116708702,59.89628740453698,middle_third,55.628853076535314,37.000496609700505,83.64095464610128,18.62835646683481,23.7446672415643,1.0,4.657089116708702,-7.396287404536977,-32.56108727786315,0.7840404,0.66,1,Switzerland,switzerland,Hungary - Switzerland,switzerland,1,3,True,0,0,0,0,0,window_end_20s,1,,4.110999999999876,83.73323824380955,36.93924258117817,23.836950839272575,18.689610495357144,4.546244343312504
6,5544195,10451,2219332781,1,interception,2H,4566.285,0,opponent_on_ball,pass,2.738000000000284,0.0349999999998544,Hungary - Switzerland,2.0,2.0,0,0,0,0,0,4.1270000000004075,4.1270000000004075,1,0,0,0,0,8.929000000000087,8.929000000000087,2,0,1,0,0,8.929000000000087,8.929000000000087,2,0,1,0,0,8.929000000000087,8.929000000000087,2,0,1,0,0,46.27864540035103,middle_third,59.007825680014946,52.4127705774111,56.193406629701215,6.595055102603844,9.914761229350184,0.9728384861310764,3.4349245326060385,46.27864540035103,middle_third,59.007825680014946,37.73337311478048,74.19136347806737,21.274452565234466,27.91271807771634,0.9829842992010818,5.214326609126187,46.27864540035103,middle_third,59.007825680014946,14.610610872308506,86.83371503572467,44.39721480770644,44.80485684887259,0.8853176578057247,4.999686352219133,46.27864540035103,middle_third,59.007825680014946,14.610610872308506,86.83371503572467,44.39721480770644,44.80485684887259,0.8853176578057247,4.999686352219133,46.27864540035103,middle_third,59.007825680014946,14.610610872308506,86.83371503572467,44.39721480770644,44.80485684887259,0.8853176578057247,4.999686352219133,-6.2213545996489685,5.80740953139324,0.99976224,0.66,1,Hungary,hungary,Hungary - Switzerland,switzerland,1,3,False,0,0,1,1,0,opponent_on_ball,0,2219332671,10.73700000000008,92.4,16.21110730332755,46.121354599648974,42.796718376687394,3.9859102520896967
