stop_reason,n,shot_count,shot_rate,denmark_n,denmark_shot_count
opponent_on_ball,233,24,0.10300429184549356,5,0
window_end,67,17,0.2537313432835821,5,1
game_interruption,42,23,0.5476190476190477,2,1
goal_kick,1,0,0.0,0,0
throw_in,1,0,0.0,0,0
