stop_reason,n,shot_count,shot_rate,denmark_n,denmark_shot_count
opponent_on_ball,199,23,0.11557788944723618,14,1
window_end,60,25,0.4166666666666667,3,3
game_interruption,44,31,0.7045454545454546,3,2
