first_action_type,n,shot_count,shot_rate,denmark_n,denmark_shot_count
pass,81,15,0.18518518518518517,11,3
duel,25,4,0.16,3,0
none,20,3,0.15,0,0
touch,13,5,0.38461538461538464,1,1
goalkeeper_exit,2,0,0.0,0,0
