candidate_cache_version,match_id,team_id,start_event_id,label_counterattack,regain_type,match_period,start_ts,attacking_left,stop_reason,first_action_type,first_action_time_s,tracking_start_dt_s,source_label,short_duration_s,in_play_2s,event_count_pass_2s,event_count_touch_2s,event_count_duel_2s,event_count_clearance_2s,event_count_shot_2s,mid_duration_s,in_play_5s,event_count_pass_5s,event_count_touch_5s,event_count_duel_5s,event_count_clearance_5s,event_count_shot_5s,ten_duration_s,in_play_10s,event_count_pass_10s,event_count_touch_10s,event_count_duel_10s,event_count_clearance_10s,event_count_shot_10s,fifteen_duration_s,in_play_15s,event_count_pass_15s,event_count_touch_15s,event_count_duel_15s,event_count_clearance_15s,event_count_shot_15s,long_duration_s,in_play_20s,event_count_pass_20s,event_count_touch_20s,event_count_duel_20s,event_count_clearance_20s,event_count_shot_20s,short_start_progress_m,short_start_zone,short_start_goal_distance_m,short_min_goal_distance_m,short_end_progress_m,short_progression_goal_m,short_progression_x_m,short_directness_goal,short_avg_progress_speed_mps,mid_start_progress_m,mid_start_zone,mid_start_goal_distance_m,mid_min_goal_distance_m,mid_end_progress_m,mid_progression_goal_m,mid_progression_x_m,mid_directness_goal,mid_avg_progress_speed_mps,ten_start_progress_m,ten_start_zone,ten_start_goal_distance_m,ten_min_goal_distance_m,ten_end_progress_m,ten_progression_goal_m,ten_progression_x_m,ten_directness_goal,ten_avg_progress_speed_mps,fifteen_start_progress_m,fifteen_start_zone,fifteen_start_goal_distance_m,fifteen_min_goal_distance_m,fifteen_end_progress_m,fifteen_progression_goal_m,fifteen_progression_x_m,fifteen_directness_goal,fifteen_avg_progress_speed_mps,long_start_progress_m,long_start_zone,long_start_goal_distance_m,long_min_goal_distance_m,long_end_progress_m,long_progression_goal_m,long_progression_x_m,long_directness_goal,long_avg_progress_speed_mps,tracking_start_x_m_raw,tracking_start_y_m_raw,hybrid_probability,hybrid_threshold,hybrid_label,teamName,team_norm,label_no_score,winner_norm,home_goals,away_goals,team_won_match,shot_20s,shot_15s,box_entry_proxy,final_third_entry_proxy,box_shot_proxy
6,5706350,1604,2573005540,1,duel_regain,1H,111.871,1,opponent_on_ball,duel,1.73299999999999,0.0089999999999861,Slovakia U21 - Spain U21,1.73299999999999,1.73299999999999,0,0,1,0,0,1.73299999999999,1.73299999999999,0,0,1,0,0,5.388999999999982,5.388999999999982,1,0,1,0,0,5.388999999999982,5.388999999999982,1,0,1,0,0,5.388999999999982,5.388999999999982,1,0,1,0,0,85.18,attacking_third,31.520985073439565,21.863147074472145,96.54,9.65783799896742,11.359999999999983,1.0,5.615022092422922,85.18,attacking_third,31.520985073439565,21.863147074472145,96.54,9.65783799896742,11.359999999999983,1.0,5.615022092422922,85.18,attacking_third,31.520985073439565,5.5268435838188825,103.02,25.99414148962068,19.53,1.0,4.849653262988934,85.18,attacking_third,31.520985073439565,5.5268435838188825,103.02,25.99414148962068,19.53,1.0,4.849653262988934,85.18,attacking_third,31.520985073439565,5.5268435838188825,103.02,25.99414148962068,19.53,1.0,4.849653262988934,-32.68,-24.51,0.9985085,0.66,1,Spain Under 21,spain u21,Slovakia U21 - Spain U21,spain u21,2,3,True,0,0,1,1,0
6,5706350,14501,2573005518,1,duel_regain,1H,2659.77,0,game_interruption,none,,0.0099999999997635,Slovakia U21 - Spain U21,0.1759999999999308,0.1759999999999308,0,0,0,0,0,0.1759999999999308,0.1759999999999308,0,0,0,0,0,7.947000000000116,7.947000000000116,1,0,1,0,0,7.947000000000116,7.947000000000116,1,0,1,0,0,7.947000000000116,7.947000000000116,1,0,1,0,0,44.36,middle_third,66.57184464922089,66.16598068494112,44.99,0.4058639642797743,0.6300000000000026,1.0,3.3821997023345287,44.36,middle_third,66.57184464922089,66.16598068494112,44.99,0.4058639642797743,0.6300000000000026,1.0,3.3821997023345287,44.36,middle_third,66.57184464922089,37.10338124753592,78.53,29.46846340168497,34.17,1.0,3.7396527159500335,44.36,middle_third,66.57184464922089,37.10338124753592,78.53,29.46846340168497,34.17,1.0,3.7396527159500335,44.36,middle_third,66.57184464922089,37.10338124753592,78.53,29.46846340168497,34.17,1.0,3.7396527159500335,-8.14,27.47,0.95918465,0.66,1,Slovakia Under 21,slovakia u21,Slovakia U21 - Spain U21,spain u21,2,3,False,0,0,0,0,0
6,5706350,14501,2573005876,1,interception,2H,4150.538,0,opponent_on_ball,goalkeeper_exit,1.9070000000001528,0.0180000000000291,Slovakia U21 - Spain U21,1.9070000000001528,1.86200000000008,0,0,0,0,0,4.089000000000851,3.96900000000096,0,0,1,1,0,4.089000000000851,3.96900000000096,0,0,1,1,0,4.089000000000851,3.96900000000096,0,0,1,1,0,4.089000000000851,3.96900000000096,0,0,1,1,0,21.879999999999995,defensive_third,83.14937462182141,63.244339667673025,52.04,19.905034954148384,30.160000000000004,1.0,10.587784550078313,21.879999999999995,defensive_third,83.14937462182141,40.3665517477032,62.15,42.78282287411821,43.879999999999995,0.9190587287377532,10.589807642106178,21.879999999999995,defensive_third,83.14937462182141,40.3665517477032,62.15,42.78282287411821,43.879999999999995,0.9190587287377532,10.589807642106178,21.879999999999995,defensive_third,83.14937462182141,40.3665517477032,62.15,42.78282287411821,43.879999999999995,0.9190587287377532,10.589807642106178,21.879999999999995,defensive_third,83.14937462182141,40.3665517477032,62.15,42.78282287411821,43.879999999999995,0.9190587287377532,10.589807642106178,-30.620000000000005,-2.210000000000001,0.95193636,0.66,1,Slovakia Under 21,slovakia u21,Slovakia U21 - Spain U21,spain u21,2,3,False,0,0,0,0,0
6,5706351,3763,2573076636,1,interception,1H,1685.245,0,opponent_on_ball,pass,1.288000000000011,0.0049999999998817,Italy U21 - Romania U21,1.288000000000011,1.288000000000011,1,0,0,0,0,2.7640000000001237,2.7640000000001237,2,0,0,0,0,7.416000000000167,5.475000000000136,3,1,1,0,0,7.416000000000167,5.475000000000136,3,1,1,0,0,7.416000000000167,5.475000000000136,3,1,1,0,0,21.14,defensive_third,83.95391890793425,80.99225950669607,24.75,2.9616594012381796,3.609999999999999,1.0,2.3884350009985145,21.14,defensive_third,83.95391890793425,72.40904984875854,32.68,11.54486905917571,11.54,1.0,4.244437154108675,21.14,defensive_third,83.95391890793425,49.544066244102325,55.57,34.40985266383193,34.43,0.9976738477423452,6.325340563204335,21.14,defensive_third,83.95391890793425,49.544066244102325,55.57,34.40985266383193,34.43,0.9976738477423452,6.325340563204335,21.14,defensive_third,83.95391890793425,49.544066244102325,55.57,34.40985266383193,34.43,0.9976738477423452,6.325340563204335,-31.36,3.969999999999999,0.9987093,0.66,1,Italy Under 21,italy u21,Italy U21 - Romania U21,italy u21,1,0,True,0,0,0,0,0
6,5706351,11950,2573077424,1,interception,1H,2504.755,1,opponent_on_ball,pass,1.19399999999996,0.0050000000001091,Italy U21 - Romania U21,1.19399999999996,1.19399999999996,1,0,0,0,0,1.19399999999996,1.19399999999996,1,0,0,0,0,5.739000000000033,5.739000000000033,2,0,0,0,0,5.739000000000033,5.739000000000033,2,0,0,0,0,5.739000000000033,5.739000000000033,2,0,0,0,0,47.25,middle_third,58.24793987773302,52.78177431651953,53.39,5.4661655612134865,6.140000000000001,1.0,4.7122116907018725,47.25,middle_third,58.24793987773302,52.78177431651953,53.39,5.4661655612134865,6.140000000000001,1.0,4.7122116907018725,47.25,middle_third,58.24793987773302,34.992314870554075,71.5,23.255625007178946,24.25,0.9525469767350369,4.065668707548908,47.25,middle_third,58.24793987773302,34.992314870554075,71.5,23.255625007178946,24.25,0.9525469767350369,4.065668707548908,47.25,middle_third,58.24793987773302,34.992314870554075,71.5,23.255625007178946,24.25,0.9525469767350369,4.065668707548908,5.25,7.600000000000001,0.9960316,0.66,1,Romania Under 21,romania u21,Italy U21 - Romania U21,italy u21,1,0,False,0,0,0,1,0
6,5706351,3763,2573076870,1,interception,1H,2582.933,0,opponent_on_ball,pass,2.1359999999999673,0.0129999999999199,Italy U21 - Romania U21,2.0,2.0,0,0,0,0,0,2.81899999999996,2.81899999999996,1,0,0,0,1,6.585999999999785,6.585999999999785,2,0,0,0,1,6.585999999999785,6.585999999999785,2,0,0,0,1,6.585999999999785,6.585999999999785,2,0,0,0,1,79.95,attacking_third,25.287825133846525,14.72674437885034,91.83,10.561080754996183,11.879999999999995,0.978270348904262,5.388306507651015,79.95,attacking_third,25.287825133846525,3.0548322376196047,102.5,22.23299289622692,24.25,0.8513052682213663,8.05543220877856,79.95,attacking_third,25.287825133846525,3.0548322376196047,82.94,22.23299289622692,24.25,0.5268615798520917,3.4099682356176353,79.95,attacking_third,25.287825133846525,3.0548322376196047,82.94,22.23299289622692,24.25,0.5268615798520917,3.4099682356176353,79.95,attacking_third,25.287825133846525,3.0548322376196047,82.94,22.23299289622692,24.25,0.5268615798520917,3.4099682356176353,27.450000000000003,3.460000000000001,0.9967976,0.66,1,Italy Under 21,italy u21,Italy U21 - Romania U21,italy u21,1,0,True,1,1,1,1,1
6,5706351,11950,2573077683,1,interception,2H,3312.349,1,game_interruption,duel,3.928999999999633,0.0109999999995125,Italy U21 - Romania U21,2.0,2.0,0,0,0,0,0,3.928999999999633,3.928999999999633,0,0,1,0,0,3.928999999999633,3.928999999999633,0,0,1,0,0,3.928999999999633,3.928999999999633,0,0,1,0,0,3.928999999999633,3.928999999999633,0,0,1,0,0,53.39,middle_third,60.72027832610783,46.27431468968503,69.59,14.445963636422803,16.200000000000003,0.9854098645343488,7.370389610419661,53.39,middle_third,60.72027832610783,37.57018099503914,78.19,23.150097331068693,24.799999999999997,0.9908453448764208,5.96651993068764,53.39,middle_third,60.72027832610783,37.57018099503914,78.19,23.150097331068693,24.799999999999997,0.9908453448764208,5.96651993068764,53.39,middle_third,60.72027832610783,37.57018099503914,78.19,23.150097331068693,24.799999999999997,0.9908453448764208,5.96651993068764,53.39,middle_third,60.72027832610783,37.57018099503914,78.19,23.150097331068693,24.799999999999997,0.9908453448764208,5.96651993068764,-0.8900000000000006,31.989999999999995,0.95634073,0.66,1,Romania Under 21,romania u21,Italy U21 - Romania U21,italy u21,1,0,False,0,0,0,0,0
6,5706352,9910,2573095598,1,duel_regain,1H,1028.445,0,game_interruption,pass,1.413000000000011,0.0049999999998817,Portugal U21 - France U21,1.413000000000011,1.413000000000011,1,0,0,0,0,4.866999999999962,4.866999999999962,2,0,0,0,0,8.282000000000153,8.282000000000153,3,0,0,0,0,12.808999999999967,9.195000000000164,4,0,0,0,1,12.808999999999967,9.195000000000164,4,0,0,0,1,32.870000000000005,defensive_third,73.35684357985967,67.3890681045524,38.56,5.967775475307278,5.689999999999998,1.0,4.388070202432145,32.870000000000005,defensive_third,73.35684357985967,46.03680484134406,59.57,27.320038738515613,26.699999999999996,1.0,5.691674737190807,32.870000000000005,defensive_third,73.35684357985967,20.224294796110943,90.3,53.13254878374873,57.42999999999999,1.0000000000000002,6.448124852396684,32.870000000000005,defensive_third,73.35684357985967,18.32938896963017,97.88,55.027454610229505,65.00999999999999,1.0000000000000004,6.007364040418015,32.870000000000005,defensive_third,73.35684357985967,18.32938896963017,97.88,55.027454610229505,65.00999999999999,1.0000000000000004,6.007364040418015,-19.629999999999995,-13.36,0.9950335,0.66,1,Portugal Under 21,portugal u21,Portugal U21 - France U21,draw,0,0,False,1,1,1,1,1
6,5706352,4425,2573095866,1,interception,1H,2630.187,1,opponent_on_ball,duel,1.525000000000091,0.0129999999999199,Portugal U21 - France U21,1.525000000000091,1.525000000000091,0,0,1,0,0,4.230000000000018,4.230000000000018,1,1,1,0,0,4.230000000000018,4.230000000000018,1,1,1,0,0,4.230000000000018,4.230000000000018,1,1,1,0,0,4.230000000000018,4.230000000000018,1,1,1,0,0,27.72,defensive_third,78.22928415881101,72.78981041327144,32.78,5.439473745539573,5.060000000000002,1.0,3.675320098337504,27.72,defensive_third,78.22928415881101,46.03896719084823,59.28,32.19031696796278,31.56,1.0,7.664361182847783,27.72,defensive_third,78.22928415881101,46.03896719084823,59.28,32.19031696796278,31.56,1.0,7.664361182847783,27.72,defensive_third,78.22928415881101,46.03896719084823,59.28,32.19031696796278,31.56,1.0,7.664361182847783,27.72,defensive_third,78.22928415881101,46.03896719084823,59.28,32.19031696796278,31.56,1.0,7.664361182847783,24.78,12.15,0.98827595,0.66,1,France Under 21,france u21,Portugal U21 - France U21,draw,0,0,False,0,0,0,0,0
6,5706352,4425,2573096080,1,duel_regain,2H,3091.506,1,opponent_on_ball,pass,3.4890000000000327,0.0140000000001236,Portugal U21 - France U21,0.236000000000331,0.236000000000331,0,0,0,0,0,3.4890000000000327,3.4890000000000327,1,0,0,0,0,9.597000000000207,9.597000000000207,3,1,0,0,0,12.29300000000012,9.853999999999814,4,1,0,0,0,12.29300000000012,9.853999999999814,4,1,0,0,0,38.11,middle_third,68.02236176434924,67.92548417199541,38.17,0.0968775923538345,0.0600000000000022,1.0,0.4843879617696132,38.11,middle_third,68.02236176434924,58.752967584625026,47.06,9.269394179724216,8.950000000000003,1.0,2.694591331315136,38.11,middle_third,68.02236176434924,11.225515578359865,93.79,56.79684618598938,55.67999999999999,1.0,5.941092697279258,38.11,middle_third,68.02236176434924,10.270394344911985,94.77,57.75196741943726,56.66,1.0,5.869102380024296,38.11,middle_third,68.02236176434924,10.270394344911985,94.77,57.75196741943726,56.66,1.0,5.869102380024296,14.39,-12.36,0.9977335,0.66,1,France Under 21,france u21,Portugal U21 - France U21,draw,0,0,False,0,0,1,1,0
