teamName,matches,hybrid_counterattacks,counterattacks_per_match,shot_rate,box_shot_proxy_rate,box_entry_proxy_rate,final_third_entry_proxy_rate,avg_progression_goal_m,avg_progression_speed_mps,avg_duration_s,avg_start_goal_distance_m,avg_directness,avg_probability
Sweden,4,27,6.75,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.7777777777777778,37.7644614546742,4.344596644200318,9.170592592592582,59.02848585671058,0.8793768814586446,0.9639023733333333
Denmark,3,20,6.666666666666667,0.3,0.3,0.6,0.8,42.26836447519639,5.377421225309773,8.701600000000003,63.505472088413946,0.9172542892660388,0.9889054125
Spain,6,38,6.333333333333333,0.34210526315789475,0.34210526315789475,0.7105263157894737,0.868421052631579,35.27464221495533,4.778948795999258,7.734894736842213,52.81954114868987,0.8929508557333826,0.9914129952631578
Poland,3,16,5.333333333333333,0.125,0.125,0.625,0.75,43.891802045014124,5.01016362860206,8.976875000000009,65.12167098164093,0.95141662824764,0.9815880725
Wales,3,16,5.333333333333333,0.125,0.125,0.375,0.5625,42.02086125080859,4.949822845880708,9.124625000000044,68.51100557861885,0.936505183960041,0.9851376425
Iceland,3,15,5.0,0.3333333333333333,0.3333333333333333,0.7333333333333333,0.7333333333333333,47.903763127815616,4.815653723865686,10.40026666666668,64.67903805215055,0.9261530430502245,0.9738371066666667
England,6,28,4.666666666666667,0.25,0.25,0.4642857142857143,0.6785714285714286,33.91433621395156,4.607826029541473,7.747464285714285,59.351155316509114,0.8938459844232006,0.9870723110714286
Italy,5,23,4.6,0.21739130434782608,0.21739130434782608,0.5217391304347826,0.6521739130434783,39.13375057277815,4.598589040327046,9.116565217391289,63.000000853660914,0.8725062451638685,0.9771619939130435
Germany,5,22,4.4,0.22727272727272727,0.22727272727272727,0.45454545454545453,0.5909090909090909,43.16461062061233,4.9211879195021675,9.086545454545428,71.39082590634963,0.9066797779189344,0.9733918777272728
Finland,3,13,4.333333333333333,0.15384615384615385,0.15384615384615385,0.6923076923076923,0.9230769230769231,38.632504058118286,4.438918286922327,9.331000000000008,57.423380888125784,0.920313321373482,0.9834609
France,4,17,4.25,0.4117647058823529,0.4117647058823529,0.7058823529411765,0.8823529411764706,36.30215651755645,4.580694945893223,8.052529411764718,51.96289377960499,0.8903994896705939,0.9878757047058824
Norway,4,17,4.25,0.29411764705882354,0.29411764705882354,0.6470588235294118,0.8823529411764706,37.2251563579708,4.634809543953421,8.620764705882387,55.01016908041879,0.8719551661452156,0.9724051752941176
Switzerland,4,17,4.25,0.4117647058823529,0.4117647058823529,0.6470588235294118,0.7647058823529411,49.21147089634833,5.004025957107048,10.4518823529412,69.88157494460067,0.8979176295258897,0.9821903835294118
Belgium,3,11,3.6666666666666665,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.8181818181818182,55.72925077007025,4.705706139362466,12.179545454545451,78.95610306994104,0.9203394720065344,0.9854739063636363
Portugal,3,11,3.6666666666666665,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.9090909090909091,30.90801277574229,4.648088023501814,7.021999999999958,55.77703085099779,0.8821629262807793,0.9856184427272727
Netherlands,3,10,3.3333333333333335,0.4,0.4,0.7,0.9,46.35241790027198,4.5818621662160925,10.325799999999987,61.070678808253525,0.8274368839279056,0.991972599
