teamName,matches,hybrid_counterattacks,counterattacks_per_match,shot_rate,box_shot_proxy_rate,box_entry_proxy_rate,final_third_entry_proxy_rate,avg_progression_goal_m,avg_progression_speed_mps,avg_duration_s,avg_start_goal_distance_m,avg_directness,avg_probability
Albania,3,19,6.333333333333333,0.15789473684210525,0.15789473684210525,0.5263157894736842,0.8947368421052632,46.87685593990852,5.250008392683211,9.920105263157799,65.22917546114057,0.7828419445501714,0.9781149484210525
Austria,4,21,5.25,0.09523809523809523,0.09523809523809523,0.47619047619047616,0.8095238095238095,45.15624767570306,5.165737860048124,9.236000000000013,66.2121783589635,0.8322091952058172,0.9917821395238094
Belgium,4,19,4.75,0.21052631578947367,0.21052631578947367,0.6842105263157895,0.8421052631578947,47.97731807559398,5.092062617924672,9.688947368420983,63.168268568467454,0.8300356635423944,0.9764841757894737
Slovenia,4,19,4.75,0.15789473684210525,0.15789473684210525,0.3684210526315789,0.7894736842105263,43.1178818303452,5.3969305320086844,8.890684210526441,68.99795802241613,0.8537687656259195,0.9731492784210526
Germany,5,22,4.4,0.3181818181818182,0.2727272727272727,0.5909090909090909,0.8636363636363636,44.40868462786264,5.705170125946175,9.0408636363636,62.25711967766729,0.8494024600565123,0.9717532299999999
Hungary,3,13,4.333333333333333,0.15384615384615385,0.15384615384615385,0.7692307692307693,0.7692307692307693,46.51037249683308,5.269060681005376,9.380692307692343,64.91352757990845,0.8666860406035475,0.9933912084615385
Portugal,5,21,4.2,0.047619047619047616,0.047619047619047616,0.47619047619047616,0.7142857142857143,40.59530016726207,5.04648311446055,8.802142857142815,64.71779443026908,0.8661231544766479,0.9680881857142858
Spain,7,28,4.0,0.25,0.25,0.6785714285714286,0.9285714285714286,43.41120465338229,4.554329117597783,9.998892857142744,59.75308737310711,0.8560005039699609,0.9761698510714286
France,6,24,4.0,0.25,0.25,0.6666666666666666,0.75,44.106941014540475,4.781586659567183,9.954833333333278,63.28775844919851,0.8186740292794065,0.9841467970833334
Poland,3,11,3.6666666666666665,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.7272727272727273,37.24776595247883,4.574211100253259,8.351636363636379,64.99345562207019,0.8401861619044854,0.9863609827272728
Netherlands,6,20,3.3333333333333335,0.45,0.45,0.65,0.7,40.725913930501775,5.137237216546336,8.775750000000013,60.447151421975946,0.8113416416110171,0.9622421415
Scotland,3,10,3.3333333333333335,0.1,0.1,0.6,0.7,46.05347701506902,5.505265536018031,9.600499999999977,68.40962129447514,0.8976048858258949,0.9752564969999999
Slovakia,4,12,3.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.5833333333333334,38.07887882608832,4.955654055050638,8.381833333333402,70.06847567791148,0.8972758668823033,0.9898191616666666
Serbia,3,9,3.0,0.0,0.0,0.6666666666666666,0.8888888888888888,42.443513375035984,4.890381963856399,9.043777777777727,58.00895495252168,0.8367125646072486,0.9892966877777778
Georgia,4,11,2.75,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.7272727272727273,44.97988292400013,4.381511577833689,11.445818181818161,69.93941955887524,0.7918098736277961,0.9717462690909091
Türkiye,5,13,2.6,0.15384615384615385,0.15384615384615385,0.6153846153846154,0.9230769230769231,42.91314532741629,4.848121708435155,9.204538461538549,59.729586107214416,0.8616321196146166,0.9888964476923078
Denmark,4,10,2.5,0.1,0.1,0.4,0.7,35.307834071792534,5.096461487138941,7.199200000000022,63.95794397055327,0.8375276531637021,0.985273111
Croatia,3,7,2.3333333333333335,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.8571428571428571,45.25192599486797,4.411357513226337,10.855285714285824,62.711532191598316,0.8395579806982504,0.98667109
Ukraine,3,7,2.3333333333333335,0.0,0.0,0.2857142857142857,1.0,46.574683346251604,5.862516160528946,8.09614285714265,70.21622506651444,0.9669609360794365,0.9966130442857143
England,7,14,2.0,0.14285714285714285,0.14285714285714285,0.6428571428571429,0.9285714285714286,44.768349505605194,4.474242976966603,10.982428571428434,61.00916241307095,0.7542102676521747,0.9664164457142858
Italy,4,8,2.0,0.125,0.125,0.5,0.75,45.357925134945596,5.08157928281789,9.013749999999916,67.31409535854304,0.840344931602198,0.987682195
Romania,4,8,2.0,0.375,0.375,0.625,1.0,37.502345497204225,5.860444509345772,7.385125000000027,50.80313455641866,0.8992468895414292,0.9809292525
Switzerland,5,7,1.4,0.0,0.0,0.42857142857142855,0.5714285714285714,42.43878172133615,4.526068965247418,9.98471428571429,68.36130756510082,0.7880920275342612,0.9561949928571429
Czechia,3,0,0.0,,,,,,,,,,
